Area name,Inner/ Outer London,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Employ_2005,Employ_2006,Employ_2007,Employ_2008,Employ_2009,Employ_2010,Employ_2011,Employ_2012,Employ_2013,Unemploy_2005,Unemploy_2006,Unemploy_2007,Unemploy_2008,Unemploy_2009,Unemploy_2010,Unemploy_2011,Unemploy_2012,Unemploy_2013,YouthUnemploy_2005,YouthUnemploy_2006,YouthUnemploy_2007,YouthUnemploy_2008,YouthUnemploy_2009,YouthUnemploy_2010,YouthUnemploy_2011,YouthUnemploy_2012,YouthUnemploy_2013,Satisfaction_2012,Satisfaction_2013,Satisfaction_2014,Worthwhileness_2012,Worthwhileness_2013,Worthwhileness_2014,Happiness_2012,Happiness_2013,Happiness_2014,Anxiety_2012,Anxiety_2013,Anxiety_2014
City of London,Inner London,7131,7254,7607,7429,7472,7338,7412,7604,7648,7900,-,-,-,-,-,-,-,-,-,-,84.9,67.6,88.7,85.6,63.1,46.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.1,8.2,5.14,8.23,7.89,-,7.44,7.24,7.61,-,-
Barking and Dagenham,Outer London,166275,167157,169031,172452,177580,182838,187029,190560,194352,201000,12.95,13.27,12.79,11.56,11.59,11.17,10.49,10.07,9.05,8.26,63.3,63.3,67.5,66.1,62.6,62.9,62.4,62.3,64.5,9.6,9.5,8.6,8.3,12.1,13.4,13.0,14.1,14.0,19.2,23.7,23.9,19.8,26.7,25.8,26.0,28.1,23.6,7.04,7.06,6.93,7.47,7.57,7.33,6.93,6.97,7.04,3.23,3.3,3.57
Barnet,Outer London,327541,330801,334837,339212,345829,351438,357538,363956,369088,384600,11.70,10.65,9.04,7.96,7.78,7.60,7.31,7.35,6.97,6.15,70.4,69.8,70.6,69.3,67.3,71.1,69.8,67.1,73.1,6.3,6.5,4.4,7.4,6.9,6.2,8.0,10.2,5.7,10.8,6.5,10.5,26.3,19.9,14.7,9.0,26.8,21.5,7.45,7.35,7.39,7.72,7.79,7.69,7.26,7.27,7.53,3.33,2.63,2.61
Bexley,Outer London,222391,223280,224625,226652,228146,230711,232774,234271,236687,233500,8.54,9.00,7.61,7.48,7.13,6.77,5.96,5.23,5.27,4.99,79.3,77.1,76.0,74.4,69.6,70.8,71.4,74.0,73.4,4.0,5.5,4.3,7.2,8.2,8.6,7.5,6.4,8.3,13.4,15.5,10.0,18.8,17.4,24.4,30.5,18.0,18.8,7.4,7.47,7.26,7.71,7.75,7.76,7.2,7.21,7.29,3.12,3.22,3.4
Brent,Outer London,270939,276504,283273,290901,298118,304785,312245,314660,317264,318800,13.26,12.97,11.02,9.93,9.35,9.74,9.68,10.12,8.66,7.70,67.0,65.0,70.1,71.3,68.8,64.6,61.2,67.3,67.6,8.8,9.8,9.1,7.1,9.0,7.9,12.1,10.9,10.8,29.0,28.1,28.5,11.6,28.0,25.3,33.3,16.8,24.6,7.04,7.23,7.31,7.16,7.32,7.51,7.03,7.09,7.22,2.74,3.33,3.15
Bromley,Outer London,299421,300963,302625,304968,306924,308560,310554,314036,317899,315800,10.35,10.28,9.44,8.33,8.64,7.75,7.14,7.05,6.45,6.11,81.7,77.6,81.5,79.3,75.6,73.0,74.0,74.8,76.1,3.4,4.6,4.2,3.3,5.2,5.5,5.6,5.6,5.6,10.6,14.0,11.6,15.6,14.4,14.2,18.8,21.6,21.6,7.54,7.63,7.5,7.9,7.8,7.73,7.53,7.36,7.55,3.21,3.2,3.18
Camden,Inner London,211088,211032,211520,210273,212924,214725,220087,224962,229719,226000,21.91,20.01,20.11,16.74,16.25,15.86,15.93,16.27,14.60,12.44,64.5,66.9,68.2,68.6,65.7,66.6,61.9,65.6,63.7,7.4,8.1,6.5,5.7,8.6,9.9,8.3,8.0,7.3,17.0,17.5,13.9,17.7,24.7,24.0,29.2,20.4,15.7,7.24,7.22,7.13,7.38,7.37,7.47,7.28,7.13,7.23,3.8,3.25,3.38
Croydon,Outer London,339052,340449,344029,349308,352763,357951,364815,368886,372752,373400,10.38,10.28,9.26,8.89,9.39,9.41,9.02,8.98,8.43,7.55,74.5,73.2,74.3,76.0,72.0,72.4,66.4,72.1,74.0,7.8,6.5,7.1,5.2,9.6,7.3,12.4,10.7,8.7,28.0,19.2,14.4,18.9,30.1,26.1,37.2,29.8,26.4,7.06,7,7.38,7.54,7.46,7.62,7.18,7.11,7.31,3.51,3.02,3.39
Ealing,Outer London,312774,315329,318671,324022,329966,334073,339314,340671,342494,345800,11.74,11.92,11.65,10.66,10.11,10.20,10.49,9.60,8.81,7.53,68.3,70.6,69.2,70.3,64.9,68.3,68.8,67.3,66.4,8.1,8.0,6.6,6.2,12.4,9.9,10.2,12.4,11.9,22.1,19.9,15.3,19.3,27.3,25.1,23.4,32.3,45.4,7.15,7.24,7.28,7.6,7.48,7.61,6.92,7.44,7.22,3.92,3.58,3.37
Enfield,Outer London,284779,287429,291534,297443,301971,307648,313935,317287,320524,314000,9.97,9.65,9.41,8.67,8.25,8.10,7.69,7.30,7.10,7.05,67.6,72.1,66.5,67.7,61.4,64.0,65.5,64.9,67.3,10.0,4.4,5.4,9.1,10.1,8.4,11.9,10.4,8.3,35.9,10.6,14.3,12.0,27.7,20.4,31.3,33.6,11.3,7.19,7.18,7.31,7.53,7.57,7.56,7.12,7.41,7.41,3.17,2.51,2.53
Greenwich,Outer London,230494,233990,236535,239748,243672,249171,255483,260068,264008,275100,13.73,13.60,12.75,12.94,11.96,10.51,9.68,8.77,8.12,7.40,68.7,68.5,68.4,67.6,63.5,67.1,67.8,69.6,64.4,9.3,7.6,9.3,6.6,10.3,9.5,11.0,10.7,10.9,23.5,20.2,25.8,9.9,26.5,23.6,26.2,22.3,36.1,7.2,7.16,7.21,7.36,7.49,7.71,7.07,7.05,7.31,3.42,3.68,3.13
Hackney,Inner London,216512,220193,224480,231041,236622,241739,247182,252119,257379,254500,17.09,15.99,14.15,14.36,12.86,12.14,11.59,11.29,11.03,10.09,54.3,59.0,63.1,67.0,68.8,68.6,67.4,63.7,62.8,10.2,12.7,12.1,8.7,9.5,10.2,8.0,9.3,11.0,16.3,27.5,27.4,22.4,34.6,33.8,16.8,24.6,20.0,7.03,7.07,7.13,7.38,7.42,7.41,7.07,7.02,6.87,3.91,3.61,3.84
Hammersmith and Fulham,Inner London,173292,174675,176472,177088,180116,180842,182445,179850,178685,188200,15.77,14.92,14.50,13.16,12.95,12.70,13.35,12.84,12.11,10.59,70.8,70.5,70.7,70.1,67.0,66.7,67.6,69.7,71.5,7.1,8.4,8.1,9.1,9.2,7.8,7.4,9.5,5.9,21.7,21.8,19.2,17.0,18.2,13.4,23.8,21.9,15.2,7.33,7.23,7.39,7.46,7.6,7.53,7.17,6.94,7.09,2.94,3.15,3.33
Haringey,Inner London,229271,233174,236793,244459,249805,252742,255540,258912,263386,263700,15.70,15.43,13.12,12.45,11.20,10.31,9.73,10.14,9.03,8.36,67.5,68.8,65.9,63.7,60.7,62.8,66.2,67.1,68.7,6.9,8.6,8.5,7.5,11.5,8.9,10.8,8.3,8.6,14.6,24.6,24.2,20.0,28.0,19.2,24.0,10.4,37.6,7.09,7.2,7.31,7.34,7.44,7.66,7.05,7.13,7.29,3.23,3.07,3.2
Harrow,Outer London,221109,223632,226355,229567,233495,237451,240499,242377,243372,242600,8.37,7.91,7.08,6.22,6.55,6.59,6.31,5.89,5.55,5.02,72.3,72.8,74.8,69.8,71.7,72.9,74.1,72.0,68.8,6.0,8.5,4.7,6.7,9.3,7.2,6.5,8.3,9.6,27.6,8.1,9.0,22.6,31.6,14.6,17.6,19.6,20.2,7.3,7.34,7.51,7.34,7.53,7.6,7.33,7.35,7.5,2.6,3.17,2.65
Havering,Outer London,226990,228198,229789,231793,234127,236234,237927,239733,242080,247500,9.49,9.59,8.76,7.49,7.77,7.33,7.44,7.27,6.87,6.23,75.6,76.7,79.1,78.7,71.2,69.0,74.2,69.4,71.2,5.6,4.1,3.2,5.2,8.3,6.5,7.6,9.2,8.2,14.9,11.7,13.9,10.0,12.6,11.9,22.5,20.3,21.1,7.38,7.4,7.5,7.72,7.65,7.75,7.32,7.24,7.34,3.35,3.17,3.15
Hillingdon,Outer London,251430,254387,256981,261051,265665,269465,275499,281756,286806,283700,11.18,11.29,11.06,10.27,9.74,9.10,8.73,8.69,7.32,6.71,71.0,71.9,66.4,73.0,72.6,67.9,70.2,70.3,71.0,8.3,8.8,5.6,6.3,7.6,10.0,8.4,9.8,8.6,35.6,19.0,15.4,17.1,11.1,19.7,16.5,16.9,18.5,7.38,7.35,7.46,7.59,7.63,7.83,7.31,7.34,7.41,3.52,3.34,2.96
Hounslow,Outer London,223776,228126,233454,237907,243366,249236,254927,259052,262407,258000,12.72,12.17,10.73,10.12,9.98,9.51,9.57,9.72,8.69,7.47,74.0,73.1,70.4,71.8,70.8,72.3,73.2,73.0,74.6,6.3,9.5,4.6,5.7,8.9,7.7,7.0,7.2,7.6,13.0,19.0,15.0,21.6,20.6,24.8,17.0,37.7,24.1,7.24,7.3,7.34,7.5,7.6,7.59,7.36,7.29,7.52,3.53,3.51,3.16
Islington,Inner London,183477,185283,188636,192089,196704,200129,206285,211047,215667,217000,20.99,20.19,19.02,16.02,15.30,14.45,14.03,13.10,13.20,11.37,64.1,67.7,69.2,69.6,65.9,66.7,68.3,66.2,68.7,5.6,7.6,7.5,5.5,10.8,6.8,9.9,8.9,9.2,11.6,20.7,20.4,10.2,31.8,19.5,19.5,21.1,21.3,7.09,7.08,7.36,7.31,7.22,7.65,7.08,6.85,7.2,3.64,3.74,3.43
Kensington and Chelsea,Inner London,168375,165245,162883,162579,161893,160463,158251,155930,155594,160900,16.18,14.69,14.72,14.42,13.52,12.90,13.20,13.12,13.36,11.53,67.1,62.6,67.1,66.4,62.8,63.6,62.8,65.5,65.3,7.2,6.8,4.9,7.3,7.3,5.1,6.7,5.4,7.3,-,28.0,10.6,22.5,18.6,13.0,37.0,16.8,28.4,7.61,7.68,7.7,7.72,7.92,7.9,7.45,7.51,7.6,3.31,3.06,3.11
Kingston upon Thames,Outer London,152489,153667,154485,156027,157307,158648,160436,163906,166793,164700,10.39,9.93,8.53,7.95,7.24,7.00,7.03,7.00,6.22,5.54,74.7,75.8,74.0,73.1,74.4,70.9,68.6,71.1,74.4,6.0,4.6,2.5,6.2,5.5,9.3,8.3,6.9,6.2,22.5,10.3,15.9,14.0,5.0,23.7,18.8,15.7,9.4,7.29,7.29,7.42,7.67,7.45,7.75,7.28,7.18,7.51,3.57,3.23,3.05
Lambeth,Inner London,277620,280524,284964,289126,294050,297650,304481,310200,314242,315400,16.69,15.12,13.86,12.58,12.17,12.06,11.98,12.15,11.25,10.42,66.4,65.3,69.2,68.9,73.1,73.7,73.2,71.9,78.8,9.6,8.0,10.1,10.2,10.8,8.9,11.3,10.4,7.8,26.4,11.7,25.1,22.6,22.4,23.6,27.3,37.3,13.2,7.14,7.09,6.99,7.42,7.4,7.31,7.17,6.97,7.14,3.34,3.69,3.52
Lewisham,Inner London,254930,257976,261188,266508,270418,272525,276938,281556,286180,287400,13.80,13.10,12.46,11.89,11.84,10.93,10.59,9.81,8.78,7.77,71.3,70.9,67.8,72.1,70.6,65.3,68.7,68.3,72.0,7.6,8.2,10.7,8.4,10.4,10.8,8.1,9.9,10.5,18.6,20.5,31.5,28.7,31.0,26.7,30.0,26.6,37.6,7.09,7.23,7.37,7.42,7.71,7.75,7.07,7.13,7.41,3.63,3.35,3.32
Merton,Outer London,190583,192520,194260,195859,198136,199136,200543,202225,203223,203200,9.15,9.08,8.35,7.73,7.73,7.49,7.39,7.06,6.61,5.69,71.1,74.2,78.6,78.3,73.3,72.6,72.0,73.4,76.5,7.8,7.1,4.5,6.1,7.0,7.7,8.3,7.3,4.9,20.7,15.5,15.0,25.8,12.6,14.4,21.3,24.3,17.0,7.18,7.18,7.52,7.55,7.54,7.67,7,7.13,7.17,3.78,3.59,3.31
Newham,Inner London,253798,257994,266285,276478,286447,299171,310460,314084,318227,331400,14.33,15.37,13.80,13.31,12.12,11.96,11.49,10.31,10.10,9.08,57.0,58.5,58.4,60.0,56.3,55.3,55.0,60.5,62.6,9.5,12.9,10.5,9.8,14.7,13.7,15.5,14.3,12.0,18.2,22.9,14.9,17.8,33.0,27.5,28.8,26.3,20.5,7.17,7.22,7.31,7.35,7.51,7.71,7.05,7.32,7.5,3.91,3.36,2.74
Redbridge,Outer London,251560,255590,259965,265452,270435,275088,281395,284617,288272,288200,10.52,9.81,9.64,8.67,9.20,8.89,8.91,8.62,7.88,6.92,66.3,68.3,67.1,67.4,67.3,65.0,63.5,66.3,67.5,6.2,7.3,6.0,7.5,7.7,8.3,10.1,8.0,10.5,27.6,30.2,24.7,23.7,21.3,21.5,16.5,19.9,37.0,7.29,7.28,7.45,7.6,7.44,7.65,7.36,7.34,7.24,3.36,3.12,3.13
Richmond upon Thames,Outer London,181508,182520,182421,182927,184394,186304,187527,189145,191365,190700,8.54,8.20,7.35,6.62,6.50,6.25,6.30,6.41,6.24,5.49,77.6,76.9,78.6,77.6,74.3,75.4,75.2,76.1,77.6,3.1,3.9,4.5,3.6,5.5,7.4,3.7,5.1,3.8,8.6,15.6,17.3,12.8,17.7,16.6,18.7,18.2,-,7.52,7.42,7.56,7.75,7.69,7.76,7.24,7.33,7.54,3.32,3.56,3
Southwark,Inner London,261811,267553,272626,276973,281120,283777,288717,293530,298464,304100,17.01,15.83,14.84,14.68,14.18,13.18,12.77,11.94,11.16,10.42,64.3,65.8,66.6,67.4,66.6,69.6,64.6,69.8,66.2,7.8,9.3,8.3,8.2,11.6,10.9,11.7,9.6,11.1,20.9,18.5,17.8,13.9,29.3,25.5,40.1,31.7,24.2,7.32,7.27,7.56,7.51,7.68,7.72,7.19,7.2,7.27,3.6,3.28,3.47
Sutton,Outer London,182103,182882,184174,185860,188167,189321,191123,193630,195914,193100,9.36,8.83,8.43,7.24,7.44,6.93,6.55,6.14,5.78,5.30,81.6,78.6,76.0,77.8,77.4,76.3,73.8,75.2,78.5,3.8,5.1,6.5,3.6,4.9,7.0,7.9,6.8,6.2,11.2,12.1,24.2,9.2,13.8,20.2,26.9,26.5,21.9,7.37,7.25,7.43,7.67,7.57,7.6,7.15,7.13,7.25,3.14,3.34,3.25
